date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
194311,-7.0715,-7.9578,-10.5743,-4.76,-6.5824,-9.3027
194312,7.2024,10.6109,12.0698,5.6723,6.9227,7.2768
194401,5.0015,4.6781,5.2702,0.8163,1.6236,4.8589
194402,1.3581,0.9548,0.6429,0.0507,0.7749,2.4419
194403,2.0085,3.7072,7.6668,2.2053,2.5672,3.4078
194404,-1.9868,-2.8671,-4.0867,-1.3977,-1.8706,-1.5758
194405,5.8092,7.2671,7.0391,4.6074,5.0167,5.46
194406,9.3865,9.7095,10.4388,4.9317,5.1712,7.3889
194407,0.2144,-1.0134,-1.4495,-1.6579,-1.4787,-0.8375
194408,4.5761,4.359,1.8145,1.3605,1.2556,1.146
194409,1.5805,-0.1096,-0.1685,0.3319,-0.2562,-0.2435
194410,0.1784,0.5341,-0.4625,-0.0654,0.8407,-0.0829
194411,0.9635,2.9656,3.7163,1.1612,2.2483,3.1649
194412,6.0143,6.8302,10.6257,2.4976,4.5123,9.6992
194501,5.4526,5.0036,4.1302,0.7604,3.039,3.4172
194502,6.6597,8.7538,10.502,5.1483,6.1444,9.9868
194503,-4.406,-6.3125,-6.364,-3.1965,-4.3701,-4.7147
194504,7.6035,9.0314,9.9806,6.7601,8.0276,10.8652
194505,2.8106,2.1034,4.1159,2.0098,1.0423,1.4259
194506,3.0464,2.5731,6.7503,-1.2111,0.7163,3.4995
194507,-3.0594,-3.5611,-5.4735,-1.4266,-1.8413,-4.2511
194508,7.761,7.823,4.813,8.5886,4.3161,3.0064
194509,6.563,6.7762,6.3306,4.5548,4.3932,5.634
194510,6.1752,6.6457,7.1985,2.3629,4.9134,5.6065
194511,9.342,9.7473,11.428,2.8819,5.9904,8.7155
194512,4.0814,3.1082,1.6692,1.7707,1.1538,-0.3677
194601,9.6521,8.9142,12.2513,6.0984,4.5288,8.4635
194602,-6.2301,-6.8443,-7.3297,-5.8802,-4.6835,-7.7026
194603,6.5063,5.9328,5.6932,5.1627,7.2051,4.8957
194604,4.3708,7.9091,6.3104,3.7606,5.3312,2.4607
194605,6.7327,5.0325,5.839,3.1851,3.3884,6.645
194606,-4.6884,-5.1196,-5.9474,-4.4139,-2.6636,-3.9433
194607,-4.823,-3.8418,-5.0232,-2.7259,-2.3774,-2.3882
194608,-8.496,-8.2229,-7.5082,-6.3142,-6.2065,-6.1978
194609,-13.9706,-13.4864,-15.7756,-9.7783,-8.4493,-11.8073
194610,-3.1786,-1.0714,0.7589,-2.5023,-1.7605,0.48
194611,-1.5735,-0.6742,1.3003,-0.2321,0.7647,-0.1738
194612,5.7084,4.6134,4.3376,5.2767,5.217,3.9343
194701,4.5305,2.4272,3.2753,2.1741,-0.4905,1.9613
194702,-1.2703,-0.6043,0.873,0.071,-1.3311,-1.7817
194703,-3.3564,-3.4273,-2.3985,-1.793,-1.0154,-1.5219
194704,-9.3357,-7.9219,-8.095,-5.1304,-3.6729,-4.6654
194705,-5.22,-3.9661,-3.6097,-1.1203,0.179,-2.0662
194706,4.3188,5.3287,5.0277,6.4523,4.5569,4.5555
194707,5.2344,6.3337,7.0484,3.5118,3.4853,7.3342
194708,-1.8585,-1.5408,-1.1507,-1.8587,-1.456,-2.1997
194709,0.4098,0.3595,2.6373,-0.6744,-0.6558,-0.1814
194710,3.5397,3.3029,2.9041,2.2304,2.9955,3.0043
194711,-4.4555,-3.4527,-2.5478,-2.0816,-1.4791,-1.7796
194712,0.1759,1.3771,3.0769,2.0173,3.4628,6.5408
194801,-1.7489,-2.4805,-0.1724,-4.539,-4.0364,-3.336
194802,-5.9905,-6.3838,-5.811,-4.6491,-3.6881,-4.6973
194803,6.4133,8.3056,12.234,7.8154,7.7196,11.0026
194804,1.2935,2.8029,4.686,2.2742,4.3656,7.0963
194805,9.3433,8.7069,7.4827,8.505,6.4626,7.8323
194806,-2.8594,-1.6291,0.4448,-0.6228,0.3282,1.7011
194807,-5.0394,-5.1847,-5.4277,-5.0109,-5.31,-4.3526
194808,-1.2187,-0.5006,-0.3647,0.877,-0.2112,0.5907
194809,-2.9725,-4.2029,-5.4006,-2.7272,-2.4449,-3.726
194810,4.065,4.5972,5.3752,6.4318,5.848,6.2724
194811,-9.6917,-9.6576,-12.909,-8.3439,-8.7315,-13.3862
194812,1.377,0.0153,0.1269,4.9312,2.7612,2.2947
194901,1.2533,1.9093,2.9558,0.5644,-1.0823,1.3304
194902,-5.4013,-3.964,-5.5692,-2.4792,-2.7256,-4.0374
194903,6.3941,5.6206,8.151,4.2292,3.4034,5.0451
194904,-1.6677,-2.9624,-3.3838,-2.076,-0.6601,-2.6169
194905,-3.8322,-3.6915,-5.1082,-1.8599,-3.0887,-5.3144
194906,-1.3849,-1.3227,-1.1187,1.1072,0.2508,-2.4522
194907,6.4991,7.2103,5.7226,5.2446,5.7661,6.761
194908,3.2778,3.5448,2.0828,2.7176,2.7783,2.8063
194909,5.4115,4.1798,4.0587,2.6496,3.6203,4.3781
194910,5.086,3.4831,4.1293,3.2656,3.0499,3.2714
194911,0.4606,1.0058,0.0258,2.9316,0.178,1.4372
194912,6.939,6.5348,8.811,5.3244,3.7878,6.9841
195001,7.2216,4.6563,4.6281,0.8634,1.9489,3.6993
195002,1.6427,1.9791,0.576,1.5742,1.4739,1.0643
195003,2.4311,-1.1095,-2.0218,1.921,0.9421,0.7578
195004,5.809,5.359,7.3816,4.3505,3.0037,5.3842
195005,1.6118,2.7917,3.0579,4.6314,5.0374,4.1046
195006,-7.052,-7.861,-8.9044,-5.457,-6.334,-5.0086
195007,0.9915,3.3977,11.6038,-3.4767,4.368,13.0375
195008,4.5476,5.5421,5.0419,6.0952,4.1434,2.6001
195009,5.7172,4.8995,4.9267,5.7728,3.8597,4.4333
195010,-0.3128,-0.2319,0.3019,-0.1764,-0.4761,1.8064
195011,0.2887,2.1217,5.0141,2.4046,3.3461,4.3401
195012,5.1974,7.3812,12.476,3.3433,6.5211,10.792
195101,6.7818,7.0131,10.6312,5.162,5.3804,8.5984
195102,1.8111,1.3185,-0.2098,2.2422,1.8692,-1.4461
195103,-1.5113,-3.2701,-5.6968,-0.7124,-2.7352,-4.7251
195104,2.193,3.799,6.4513,4.4209,5.6776,6.7054
195105,-1.7383,-2.5854,-3.3139,-2.3408,-1.7963,-3.5148
195106,-3.9528,-4.7707,-7.1987,-2.1913,-1.0859,-6.4549
195107,5.3862,5.0818,6.7646,6.7108,7.0273,9.4515
195108,5.9784,5.3969,5.0422,4.2212,4.3186,4.8958
195109,2.3972,2.8739,2.7886,0.5856,0.4118,1.462
195110,-2.0489,-1.6187,-3.3423,-3.7969,-0.506,-2.0471
195111,0.3986,0.4555,0.3477,0.7789,0.6859,0.708
195112,1.1428,0.9709,0.5911,4.2486,3.6198,1.6217
195201,1.6799,1.7973,1.4297,0.4224,2.5282,3.7717
195202,-2.0438,-1.9713,-1.9656,-2.176,-2.7844,-3.476
195203,1.2554,2.2724,3.3327,4.371,4.8323,6.627
195204,-4.7813,-4.833,-4.1123,-4.652,-4.9262,-5.5171
195205,2.2833,2.0772,2.7053,3.7903,2.8315,3.4577
195206,1.6669,2.8792,3.3299,3.9018,4.167,4.7258
195207,0.9702,1.5705,-0.1746,1.2211,0.6928,1.6605
195208,0.0304,0.9596,0.2266,-0.7879,-0.473,-0.9709
195209,0.1735,-0.8012,-2.1912,-1.6986,-2.0741,-2.3742
195210,-0.7374,-1.5835,-1.9705,-0.7482,0.0374,-0.4279
195211,5.5155,5.5213,6.0762,6.2609,5.3574,7.642
195212,1.9113,1.8031,1.7299,3.1486,3.017,3.7045
195301,3.7943,3.5242,3.9666,-0.9102,-0.1896,1.5482
195302,1.3219,2.2121,1.7434,-0.2122,-0.1523,-0.8049
195303,-1.7287,-1.6985,-2.0624,-1.2085,-1.0647,-2.5659
195304,-3.0868,-2.3131,-1.0693,-2.9693,-2.5539,-1.8519
195305,0.7109,0.8933,0.7102,0.8917,0.2878,1.3513
195306,-3.1979,-3.3052,-3.9949,-1.7001,-1.3464,-1.8494
195307,0.8551,1.6127,1.5137,2.9809,2.113,1.8848
195308,-3.2764,-5.3639,-6.3306,-3.9714,-3.9016,-7.9756
195309,0.0385,-0.8175,-2.2912,0.8979,0.1987,-1.6532
195310,3.142,3.781,3.0779,5.083,4.3217,4.6557
195311,1.5292,2.1501,1.2857,3.352,2.2219,3.2942
195312,0.2591,-1.2682,-2.7596,0.528,0.3752,-2.1293
195401,4.7348,6.6199,8.1997,4.4643,5.7793,7.8701
195402,1.0862,1.4999,1.408,1.6515,2.1606,0.754
195403,2.6329,3.1207,2.1357,4.244,3.5158,1.746
195404,-0.2482,2.2954,0.3977,5.3108,3.4512,3.9896
195405,3.9802,4.243,5.1167,2.8614,2.6151,6.6242
195406,0.5735,1.8005,1.3752,1.8428,-0.2864,1.0571
195407,5.5421,6.9774,9.1082,4.295,5.1437,8.9941
195408,-0.1185,0.1787,-0.887,-2.9947,-0.9225,-4.9917
195409,2.8897,4.7725,4.6674,6.8828,6.5579,6.4643
195410,0.5601,-0.947,-0.7137,-2.2614,-1.0345,0.3434
195411,7.0826,8.9123,9.6613,9.5778,8.1469,15.7986
195412,7.5331,9.3449,11.3905,4.2803,5.8935,11.744
195501,1.5894,1.4987,2.3861,0.0723,0.7623,3.5499
195502,3.8044,5.5378,4.6345,3.0684,2.7444,3.4022
195503,-0.778,-0.4342,0.6753,-0.2787,-0.2654,2.2127
195504,1.6264,1.3503,2.6442,4.0887,1.9671,4.4324
195505,0.5818,0.387,0.4058,1.9461,0.0676,0.1997
195506,2.1083,3.2821,3.5315,6.5865,7.438,8.8422
195507,-1.6321,1.03,1.306,2.6436,1.1739,0.396
195508,-0.0701,0.5866,0.2659,0.3402,0.3236,1.4474
195509,-0.7222,-0.2867,-0.3441,0.0578,-0.1663,-2.299
195510,-1.4384,-0.8787,-1.2686,-2.8186,-1.9161,-3.2838
195511,5.9972,4.7786,5.2657,8.3322,4.6414,9.7196
195512,3.4725,2.3927,2.5601,1.9789,1.6778,-1.7027
195601,-2.3277,-2.1478,-1.7034,-3.6267,-1.3196,-2.3554
195602,1.9377,3.7737,2.3804,4.7654,2.8188,3.46
195603,3.4322,3.8762,5.1882,7.8836,5.6848,5.1985
195604,1.2824,0.7915,0.0938,0.107,1.2186,0.8141
195605,-3.398,-4.133,-4.5065,-5.1203,-4.6334,-6.625
195606,1.0128,2.5359,1.3162,4.3047,3.2469,1.7512
195607,3.3517,3.4431,3.4705,5.0829,5.2921,4.8851
195608,-0.2685,-0.9125,-2.1439,-3.5272,-2.3423,-3.129
195609,-3.3845,-3.031,-2.1313,-5.9383,-3.6359,-3.6745
195610,1.1872,0.9084,0.4057,0.6819,0.7704,1.3341
195611,-0.3115,0.1782,2.2516,-0.3983,2.5647,0.591
195612,4.3647,2.0973,2.2078,3.8264,3.1941,1.6819
195701,-0.7927,0.1194,2.0202,-4.4516,-2.6835,-1.6359
195702,-2.8013,-3.2428,-2.7095,-1.5275,-2.0136,-3.0645
195703,2.2189,2.5866,2.2445,2.7044,1.8531,1.7164
195704,2.2226,2.3022,2.332,5.6088,3.4013,2.6036
195705,3.0121,1.2922,1.7131,4.7371,2.5855,1.8302
195706,0.0903,-1.2195,0.7272,-0.1233,-1.179,-0.7328
195707,-0.6273,0.8022,0.4256,1.2811,0.5332,1.0783
195708,-4.9836,-4.3781,-5.1912,-5.4514,-3.1885,-6.0634
195709,-7.1005,-4.8467,-5.0458,-6.3295,-4.3608,-6.5429
195710,-8.1775,-5.5761,-8.2617,-3.771,-3.3989,-7.2925
195711,3.2423,1.4767,1.0946,3.0955,2.0244,-0.5021
195712,-4.601,-4.6138,-5.8678,-3.9214,-2.3379,-5.8875
195801,12.2097,10.4827,11.9178,3.3984,5.9799,12.0687
195802,-1.6496,-0.5624,-0.5017,-1.8071,-0.5644,-2.2917
195803,5.0565,3.7888,3.1135,3.4064,3.1873,3.4058
195804,2.948,1.8574,4.3224,3.332,2.4815,5.1872
195805,6.4635,4.1389,4.2645,2.0583,2.6063,3.7347
195806,2.1201,3.2153,2.991,3.1465,2.6654,3.0753
195807,4.2272,5.996,7.1336,4.3856,3.951,7.609
195808,4.3354,3.0378,3.2318,1.7085,1.8355,3.5333
195809,5.5017,4.3376,7.7889,4.7619,4.3231,8.1716
195810,6.9335,2.748,3.0463,2.607,2.722,4.1345
195811,7.6723,4.1441,4.0856,3.3185,2.1258,4.5387
195812,2.7461,3.1728,3.8361,4.975,6.9365,3.9448
195901,4.4917,5.1422,5.6035,-0.6209,2.7242,4.0781
195902,2.3973,3.5205,2.9076,0.4613,1.7257,2.2671
195903,1.606,1.6753,1.7328,0.7407,-0.1234,-0.0759
195904,3.777,3.4802,2.1226,4.7089,2.5866,3.8935
195905,-1.407,0.502,1.3377,2.7434,0.5848,3.5877
195906,1.7232,0.5786,1.8299,-0.3827,0.3588,2.1358
195907,2.1952,2.8033,3.5632,3.9908,2.3925,3.0828
195908,-1.8317,-1.2879,-1.913,-1.3549,-1.0047,-0.3839
195909,-5.3951,-4.4946,-3.995,-5.0254,-3.2634,-5.3237
195910,3.9778,2.5816,1.1012,1.4464,1.7512,0.1319
